Year,Registration,VAP Turnout,Voting age population,Compulsory Voting,Election Type,Voter Turnout
2018,8843151.0,0.2181,18340292.0,0,Parliamentary,0.4523
2010,12000000.0,0.29710000000000003,14191908.0,0,Parliamentary,0.3514
2005,12977336.0,0.5171,12389532.0,0,Parliamentary,0.49369999999999997
2019,9600000.0,0.09630000000000001,18938369.0,0,Presidential,0.19
2014,20845988.0,0.5003,16208255.0,0,Presidential,0.389
2014,20845988.0,0.433,16208255.0,0,Presidential,0.3367
2009,12430644.0,0.3506,13757508.0,0,Presidential,0.38799999999999996
2004,9716413.0,0.6754000000000001,12035602.0,0,Presidential,0.8366
2021,3588869.0,0.6835,2432013.0,0,Parliamentary,0.4632
2017,3452324.0,0.685,2356975.0,0,Parliamentary,0.46759999999999996
2013,3271885.0,0.7668,2274815.0,0,Parliamentary,0.5331
2009,3084946.0,0.6911,2266221.0,0,Parliamentary,0.5077
2005,2850821.0,0.5896,2356387.0,0,Parliamentary,0.48729999999999996
2001,2499238.0,0.6729999999999999,2040574.0,0,Parliamentary,0.5495
1997,1947235.0,0.634,2228430.0,0,Parliamentary,0.7256
1996,2204002.0,0.8953,2193030.0,0,Parliamentary,0.8908
1992,2000000.0,0.8920999999999999,2051430.0,0,Parliamentary,0.915
1991,1984933.0,0.9889,1985550.0,0,Parliamentary,0.9892
2021,24425187.0,0.1953,28808723.0,0,Parliamentary,0.2303
2017,23251503.0,0.3165,27248442.0,0,Parliamentary,0.3709
2012,21645841.0,0.387,24130650.0,0,Parliamentary,0.4314
2007,18760400.0,0.32020000000000004,20806940.0,0,Parliamentary,0.35509999999999997
2002,17951127.0,0.4508,18386639.0,0,Parliamentary,0.4617
1997,16767309.0,0.7413,14838069.0,0,Parliamentary,0.6559999999999999
1991,13258554.0,0.6007,13021830.0,0,Parliamentary,0.59
2024,24351551.0,0.3712,30243035.0,0,Presidential,0.461
2019,24474161.0,0.3486,27992084.0,0,Presidential,0.39880000000000004
2014,22880678.0,0.4357,25951372.0,0,Presidential,0.49420000000000003
2009,20595683.0,0.6586,23315450.0,0,Presidential,0.7456
2004,18097225.0,0.536,19605085.0,0,Presidential,0.5807
1999,17488757.0,0.6377,16705217.0,0,Presidential,0.6091
1995,15969904.0,0.8009999999999999,15090300.0,0,Presidential,0.7569
2023,29958.0,0.2775,72246.0,0,Parliamentary,0.6693000000000001
2019,27278.0,0.2619,71161.0,0,Parliamentary,0.6833
2015,24512.0,0.2297,70017.0,0,Parliamentary,0.6562
2011,21852.0,0.23379999999999998,69267.0,0,Parliamentary,0.7412000000000001
2009,20298.0,0.25980000000000003,58867.0,0,Parliamentary,0.7534000000000001
2005,16022.0,0.2102,61268.0,0,Parliamentary,0.8038
2001,13342.0,0.1594,68338.0,0,Parliamentary,0.8164
1997,10837.0,0.8159000000000001,10837.0,0,Parliamentary,0.8159000000000001
1993,9675.0,0.8092,9675.0,0,Parliamentary,0.8092
2022,14399391.0,0.40490000000000004,15939218.0,0,Parliamentary,0.4482
2017,9317294.0,0.5307,13366186.0,0,Parliamentary,0.7613
2012,9757671.0,0.7159,8554966.0,0,Parliamentary,0.6277
2008,8256854.0,0.9242,7804962.0,0,Parliamentary,0.8736
1992,4828626.0,0.8416,4986230.0,0,Parliamentary,0.8691
1992,4828626.0,0.8751000000000001,4986230.0,0,Presidential,0.9037000000000001
2025,12550.0,0.5058,14886.0,0,Parliamentary,0.5999
2020,11951.0,0.5434,13422.0,0,Parliamentary,0.6102000000000001
2015,10908.0,0.6703,11918.0,0,Parliamentary,0.7323999999999999
2010,8654.0,0.7476,9500.0,0,Parliamentary,0.8207
2005,7558.0,0.6196,9086.0,0,Parliamentary,0.7448999999999999
2000,7520.0,0.5656,8531.0,0,Parliamentary,0.6416
1999,6578.0,0.5889,8231.0,0,Parliamentary,0.7369
1994,5980.0,0.7204,6240.0,0,Parliamentary,0.7517
1989,5190.0,,,0,Parliamentary,0.7323999999999999
1984,3733.0,,,0,Parliamentary,0.7217
1980,3508.0,,,0,Parliamentary,0.7916
1976,3802.0,,,0,Parliamentary,0.7167
1972,3105.0,,,0,Parliamentary,0.4692
2023,60916.0,0.5726,74837.0,0,Parliamentary,0.7034
2018,51257.0,0.5669,69185.0,0,Parliamentary,0.7652
2014,47721.0,0.6995999999999999,61571.0,0,Parliamentary,0.9027
2009,52183.0,0.8959,46754.0,0,Parliamentary,0.8027
2004,43456.0,0.7634000000000001,51911.0,0,Parliamentary,0.9118999999999999
1999,52385.0,0.7234999999999999,46053.0,0,Parliamentary,0.636
1994,43749.0,0.856,31850.0,0,Parliamentary,0.6232
1989,36876.0,0.7253000000000001,30870.0,0,Parliamentary,0.6072
1984,31453.0,0.4966,38710.0,0,Parliamentary,0.6112
1980,28906.0,0.6063000000000001,36750.0,0,Parliamentary,0.7707999999999999
1976,26197.0,0.7151000000000001,34790.0,0,Parliamentary,0.9497
1971,30682.0,0.5046,34300.0,0,Parliamentary,0.5640999999999999
1965,21525.0,0.3038,30360.0,0,Parliamentary,0.4285
1960,6738.0,0.0929,27540.0,0,Parliamentary,0.37979999999999997
1956,11400.0,0.2368,27454.0,0,Parliamentary,0.5702
1951,6886.0,0.19940000000000002,24288.0,0,Parliamentary,0.7033
2023,35854122.0,0.7901,34950444.0,1,Parliamentary,0.7701
2021,34742150.0,0.7256999999999999,34230537.0,1,Parliamentary,0.7151000000000001
2019,34231895.0,0.8226,33442549.0,1,Parliamentary,0.8037000000000001
2017,33116077.0,0.7768999999999999,32713088.0,1,Parliamentary,0.7674
2015,32130853.0,0.8140999999999999,31996332.0,1,Parliamentary,0.8106
2013,30635464.0,0.7807999999999999,30276314.0,1,Parliamentary,0.7717
2011,28916183.0,0.7735,29678579.0,1,Parliamentary,0.7939
2009,27797930.0,0.7089,28389141.0,1,Parliamentary,0.7239
2007,27137536.0,0.768,26926602.0,1,Parliamentary,0.7620999999999999
2005,26140766.0,0.7323000000000001,26175246.0,1,Parliamentary,0.7333
2001,24735483.0,0.7299,25487913.0,1,Parliamentary,0.7521
1999,24108413.0,0.8131999999999999,23877270.0,1,Parliamentary,0.8054000000000001
1997,23184491.0,0.7807,23230160.0,1,Parliamentary,0.7822
1995,22158612.0,0.7977,22488050.0,1,Parliamentary,0.8096
1993,21443953.0,0.7809,21886150.0,1,Parliamentary,0.797
1991,20742631.0,0.8941,20812743.0,1,Parliamentary,0.8970999999999999
1989,20022072.0,0.8207,20552960.0,1,Parliamentary,0.8423999999999999
1987,19452790.0,0.8014,20293650.0,1,Parliamentary,0.8361
1985,18649101.0,0.7776000000000001,19711250.0,1,Parliamentary,0.8219
1983,17929951.0,0.7752,19257550.0,1,Parliamentary,0.8325
1973,14302497.0,0.7498999999999999,16315200.0,1,Parliamentary,0.8554999999999999
1965,11460766.0,0.6635,14417000.0,1,Parliamentary,0.8345999999999999
1963,11353936.0,0.6981999999999999,13919100.0,1,Parliamentary,0.8559
1962,10596321.0,0.6629,13704960.0,1,Parliamentary,0.8573000000000001
1960,10187586.0,0.6706,13228160.0,1,Parliamentary,0.8706999999999999
1958,10002327.0,0.708,12837120.0,1,Parliamentary,0.9086
1954,9194157.0,0.6592,11994880.0,1,Parliamentary,0.86
1951,8633998.0,0.6728000000000001,11286400.0,1,Parliamentary,0.8795000000000001
1946,3405173.0,0.2834,10018560.0,1,Parliamentary,0.8339
2023,35405398.0,0.7731,34950444.0,1,Presidential,0.7631999999999999
2023,35854122.0,0.7914,34950444.0,1,Presidential,0.7714
2019,34231721.0,0.8231999999999999,33442549.0,1,Presidential,0.8042
