Year,Country,Registration,VAP Turnout,Voting age population,Compulsory Voting,Registration Ratio,Election Type,Voter Turnout
2018,Afghanistan,8843151.0,0.2181,18340292.0,0,0.4821706764537882,Parliamentary,0.4523
2010,Afghanistan,12000000.0,0.29710000000000003,14191908.0,0,0.8455522682362372,Parliamentary,0.3514
2005,Afghanistan,12977336.0,0.5171,12389532.0,0,1.0474435999681022,Parliamentary,0.49369999999999997
2019,Afghanistan,9600000.0,0.09630000000000001,18938369.0,0,0.5069074322081273,Presidential,0.19
2014,Afghanistan,20845988.0,0.5003,16208255.0,0,1.2861340101078123,Presidential,0.389
2014,Afghanistan,20845988.0,0.433,16208255.0,0,1.2861340101078123,Presidential,0.3367
2009,Afghanistan,12430644.0,0.3506,13757508.0,0,0.9035534633161761,Presidential,0.38799999999999996
2004,Afghanistan,9716413.0,0.6754000000000001,12035602.0,0,0.807305941156911,Presidential,0.8366
2021,Albania,3588869.0,0.6835,2432013.0,0,1.4756783783639313,Parliamentary,0.4632
2017,Albania,3452324.0,0.685,2356975.0,0,1.4647266093191484,Parliamentary,0.46759999999999996
2013,Albania,3271885.0,0.7668,2274815.0,0,1.4383081701149325,Parliamentary,0.5331
2009,Albania,3084946.0,0.6911,2266221.0,0,1.3612732385764672,Parliamentary,0.5077
2005,Albania,2850821.0,0.5896,2356387.0,0,1.2098271633649311,Parliamentary,0.48729999999999996
2001,Albania,2499238.0,0.6729999999999999,2040574.0,0,1.2247720494331498,Parliamentary,0.5495
1997,Albania,1947235.0,0.634,2228430.0,0,0.873814748500065,Parliamentary,0.7256
1996,Albania,2204002.0,0.8953,2193030.0,0,1.0050031235322818,Parliamentary,0.8908
1992,Albania,2000000.0,0.8920999999999999,2051430.0,0,0.9749296831965995,Parliamentary,0.915
1991,Albania,1984933.0,0.9889,1985550.0,0,0.9996892548664098,Parliamentary,0.9892
2021,Algeria,24425187.0,0.1953,28808723.0,0,0.8478399754130025,Parliamentary,0.2303
2017,Algeria,23251503.0,0.3165,27248442.0,0,0.8533149528328996,Parliamentary,0.3709
2012,Algeria,21645841.0,0.387,24130650.0,0,0.8970268517424934,Parliamentary,0.4314
2007,Algeria,18760400.0,0.32020000000000004,20806940.0,0,0.9016414715474741,Parliamentary,0.35509999999999997
2002,Algeria,17951127.0,0.4508,18386639.0,0,0.9763136699426143,Parliamentary,0.4617
1997,Algeria,16767309.0,0.7413,14838069.0,0,1.1300196137381489,Parliamentary,0.6559999999999999
1991,Algeria,13258554.0,0.6007,13021830.0,0,1.0181790117057279,Parliamentary,0.59
2024,Algeria,24351551.0,0.3712,30243035.0,0,0.8051953449777776,Presidential,0.461
2019,Algeria,24474161.0,0.3486,27992084.0,0,0.8743243625590721,Presidential,0.39880000000000004
2014,Algeria,22880678.0,0.4357,25951372.0,0,0.8816750806084549,Presidential,0.49420000000000003
2009,Algeria,20595683.0,0.6586,23315450.0,0,0.8833491526005288,Presidential,0.7456
2004,Algeria,18097225.0,0.536,19605085.0,0,0.9230883212187042,Presidential,0.5807
1999,Algeria,17488757.0,0.6377,16705217.0,0,1.0469039103173579,Presidential,0.6091
1995,Algeria,15969904.0,0.8009999999999999,15090300.0,0,1.0582893646912255,Presidential,0.7569
2023,Andorra,29958.0,0.2775,72246.0,0,0.4146665559338925,Parliamentary,0.6693000000000001
2019,Andorra,27278.0,0.2619,71161.0,0,0.3833279464875423,Parliamentary,0.6833
2015,Andorra,24512.0,0.2297,70017.0,0,0.35008640758672893,Parliamentary,0.6562
2011,Andorra,21852.0,0.23379999999999998,69267.0,0,0.31547490146823165,Parliamentary,0.7412000000000001
2009,Andorra,20298.0,0.25980000000000003,58867.0,0,0.3448111845346289,Parliamentary,0.7534000000000001
2005,Andorra,16022.0,0.2102,61268.0,0,0.26150682248482077,Parliamentary,0.8038
2001,Andorra,13342.0,0.1594,68338.0,0,0.19523544733530393,Parliamentary,0.8164
1997,Andorra,10837.0,0.8159000000000001,10837.0,0,1.0,Parliamentary,0.8159000000000001
1993,Andorra,9675.0,0.8092,9675.0,0,1.0,Parliamentary,0.8092
2022,Angola,14399391.0,0.40490000000000004,15939218.0,0,0.9033938176891739,Parliamentary,0.4482
2017,Angola,9317294.0,0.5307,13366186.0,0,0.6970794810127586,Parliamentary,0.7613
2012,Angola,9757671.0,0.7159,8554966.0,0,1.1405855967165737,Parliamentary,0.6277
2008,Angola,8256854.0,0.9242,7804962.0,0,1.0578980397342101,Parliamentary,0.8736
1992,Angola,4828626.0,0.8416,4986230.0,0,0.968392151986571,Parliamentary,0.8691
1992,Angola,4828626.0,0.8751000000000001,4986230.0,0,0.968392151986571,Presidential,0.9037000000000001
2025,Anguilla,12550.0,0.5058,14886.0,0,0.8430740292892651,Parliamentary,0.5999
2020,Anguilla,11951.0,0.5434,13422.0,0,0.8904038146326926,Parliamentary,0.6102000000000001
2015,Anguilla,10908.0,0.6703,11918.0,0,0.9152542372881356,Parliamentary,0.7323999999999999
2010,Anguilla,8654.0,0.7476,9500.0,0,0.9109473684210526,Parliamentary,0.8207
2005,Anguilla,7558.0,0.6196,9086.0,0,0.8318291877613911,Parliamentary,0.7448999999999999
2000,Anguilla,7520.0,0.5656,8531.0,0,0.8814910327042551,Parliamentary,0.6416
1999,Anguilla,6578.0,0.5889,8231.0,0,0.7991738549386466,Parliamentary,0.7369
1994,Anguilla,5980.0,0.7204,6240.0,0,0.9583333333333334,Parliamentary,0.7517
1989,Anguilla,5190.0,,,0,,Parliamentary,0.7323999999999999
1984,Anguilla,3733.0,,,0,,Parliamentary,0.7217
1980,Anguilla,3508.0,,,0,,Parliamentary,0.7916
1976,Anguilla,3802.0,,,0,,Parliamentary,0.7167
1972,Anguilla,3105.0,,,0,,Parliamentary,0.4692
2023,Antigua and Barbuda,60916.0,0.5726,74837.0,0,0.8139823883907693,Parliamentary,0.7034
2018,Antigua and Barbuda,51257.0,0.5669,69185.0,0,0.7408686854086869,Parliamentary,0.7652
2014,Antigua and Barbuda,47721.0,0.6995999999999999,61571.0,0,0.7750564389079274,Parliamentary,0.9027
2009,Antigua and Barbuda,52183.0,0.8959,46754.0,0,1.116118406981221,Parliamentary,0.8027
2004,Antigua and Barbuda,43456.0,0.7634000000000001,51911.0,0,0.8371250794629269,Parliamentary,0.9118999999999999
1999,Antigua and Barbuda,52385.0,0.7234999999999999,46053.0,0,1.1374937571927997,Parliamentary,0.636
1994,Antigua and Barbuda,43749.0,0.856,31850.0,0,1.3735949764521194,Parliamentary,0.6232
1989,Antigua and Barbuda,36876.0,0.7253000000000001,30870.0,0,1.1945578231292517,Parliamentary,0.6072
1984,Antigua and Barbuda,31453.0,0.4966,38710.0,0,0.8125290622578145,Parliamentary,0.6112
1980,Antigua and Barbuda,28906.0,0.6063000000000001,36750.0,0,0.7865578231292517,Parliamentary,0.7707999999999999
